baiTamaina banAma suparamaina	batman vs superman
haॉlIvuDa ke sabhI kapar3oM ne isake bAre meM bahuta acchI bAta kI thI|	sabhI holeevud rega isake bAre meM bahuta jyAdA bolatI thI
phiTanesa kA unakA siddhAMta mUla rUpa se kaptAna ke sAtha unake saMbaMdha aura jIvana meM unake sthAna ke lie eka sAdRzya thA, aura unake svayaM ke jIvana meM eka ucca sthAna ke lie vikAsa kI unakI bhAvanA| vaha nizcita rUpa se eka dilacaspa sAthI thA|	phitanes kA unakA siddhAMta mUla rUpa se captain aura jIvana meM unake steshan ke lie unake rizte kA eka sAdRzya thA , aura apane jIvana meM eka ucca steshan ke lie vikAsa kI usakI bhAvanA . vaha nizcita rUpa se eka dilacaspa sAthI thA .
mujhe gaMbhIratA se yaha TyUriMga philma pasaMda thI| Apako ise dekhanA hogA!!!	mujhe yaha touring film bahuta pasaMda AI . Apako ise dekhanA hI hogA ! ! !
hAlAMki maiM Amataura para haॉlIvuDa ke riporTara kI kisI bhI bAta ko dila se nahIM letA|	maiM Amataura para hollywood riportar ko dila se kahatA hai ki kucha bhI mata lo .
nahIM, unakI apanI samasyAeM haiM|	nahIM , unakI apanI samasyAeM nahIM haiM .
aura ve vijJAna ke bAre meM kyA jAnate haiM?	aura ve vijJAna ke bAre meM kyA jAnate haiM ?
nahIM ke bAda se ve biga Lebowski aise bhayAnaka samIkSA dI.	nahIM jaba se unhoMne da biga lebovskee ko aisI bhayAnaka samIkSA dI .
TyUriMga eka mahatvapUrNa AdamI hai| maiM karTa goDela yA jiyorDAno brUno ke bAre meM eka philma dekhanA pasaMda karUMgA|	touring eka mahatvapUrNa lar3akA hai . balki meM kart goDala yA jiyoradAnoM broono ke bAre meM eka film dekhUMgA .
yA zAyada gailIliyo ke bAre meM eka gaMbhIra DarAvanI/nATaka|	yaha zAyada gailIliyoM ke bAre meM eka gaMbhIra horara / naatak .
mujhe lagatA hai ki biga lebovskI eka mahAna philma thI mujhe patA nahIM thA ki isakA AlocanAtmaka svAgata kharAba thA|	mere vicAra se Big Lebowski great film thI , mujhe nahIM mAlUma thA ki isa poor critical reception milA
vAstava meM mujhe lagatA hai ki maiM gailIliyo ke jIvana ke bAre meM eka paTakathA likha sakatA hU~	maiM actually socatA hU~ ki mujhe Galileo kI life ke bAre meM eka script likhanA cAhie
ApakA adhikAra, kyoMki vaijJAnika rUpa se biga lebovskI aba taka kI sabase acchI philma hai. abhI taka, sAmrAjya aura vividhatA jaisI patrikAoM ne isake kAlIna para pezAba kiyA.	tuma right ho , kyoMki scientifically big Lebowski Aja taka banAI gaI best film hai . isake bAvajUda , Empire aura Variety jaisI magazines isakI apamAna janaka AlocanA karatI hai .
logoM ko yaha pasaMda AegA ki yaha unheM smArTa mahasUsa karAegA|	people pasaMda kareMge ki yaha unheM smart feel karAegA .
vAstava meM, yaha samajha meM AtA hai.	actually , yaha mAyane rakhatA hai
maiM vAstava meM eka Dudist pujArI ke rUpa meM niyukta kara rahe haiM.	maiM actually dot Priest ke rUpa meM jAnA jAtA hU~
Apa ise muphta meM ऑnalAina kara sakate haiM, aura phira Apa kAnUnI rUpa se logoM se zAdI kara sakate haiM|	tuma ise online free meM kara sakate ho , aura usake bAda tuma legally kisI se bhI marriage kara sakate ho
Age bar3ho aura mere beTe kA pAlana karo|	age bar3o aura merI beTI ko abide karo
vAstava meM, maiM pAlana karU~gA|	Indeed . me pahalUMgA
oha mujhe patA hai, maiM bhI eka sadasya dosta hU~.	oh , maiM jAnatA hU~ , maiM bhI eka member hU~ daur3e
oha acchA. mujhe patA thA ki tuma coolio foolio the.	oha acchA . mujhe patA thA ki tuma kUliyoM mUrkha the .
vahA~ eka majedAra phesabuka peja bhI hai, dudeism, yaha bAhara kI jA~ca kareM!	eka majedAra phesabuk peja bhI hai , yAra , yaha jAMca !
isa adhyayana ke sAtha kyA ho rahA hai hAlAMki? mujhe lagatA hai ki hama dekha rahe haiM. kyA Apako lagatA hai ki hama beMjAmina Cumberbach ke sAtha eka philma meM ho jAegA?	hAlAMki isa adhyayana ke sAtha kyA ho rahA hai ? mujhe lagatA hai ki hameM dekhA jA rahA hai . kyA Apako lagatA hai ki hama benjaamin kaMbarabaica ke sAtha eka film meM hoMge ?
maiM nizcita rUpa se yaha mere cehare para bAhara kI jA~ca kareMge.	maiM nizcita rUpa se ise myAphAcaya para dekhU~gA .
mujhe lagatA hai ki mAyaphesa aura spesabuka nAmaka samAnAMtara neTavarka hone cAhie|	mujhe lagatA hai ki myAphAcaya aura spacAIbuka nAmaka samAnAMtara netavark honA cAhie .
hAhA maiM usa zabda kA upayoga karatA hU~ Myface hara samaya.	hA ki maiM hara samaya myAphAcaya zabda kA upayoga karatA hU~ .
mahAna dimAga eka jaise socate haiM|	bade man vAle aisA socate haiM .
maiM eka bAra DaMkina Buckstar ke nAma se eka kaॉphI zaॉpa kholane ke vicAra ke sAtha khelA	maiMne eka bAra DhaMkina bakesatAra nAmaka eka kopI kI dukAna kholane ke vicAra ke sAtha khilavAr3a kiyA
lekina hA~, ve kahate haiM lohe lohe ko jAnatA hai	lekina hAM , ve kahate haiM ki lohA lohe ko jAnatA hai
isameM kahA gayA thA ki tIna pRSTha hoMge, phira bhI aisA lagatA hai ki hama samApta ho gae haiM|	isane kahA ki tIna peja hoMge , phira bhI hama aisA karate pratIta hote haiM .
vaise bhI, yaha TyUriMga usa mazIna recalibrate dekhane ke lie kAphI romAMcaka hai. Apa isakA AnaMda leMge.	vaise bhI , usa mazIna ko touring reekailibret dekhanA kAphI romAMcaka hai . Apako majA AegA .
kyA tuma cale gae?	Apane chor3a diyA ?
hAya !	HI / namaste
Apa kaise haiM?	kyA hAla hai ?
acchA tuma	bar3hiyA , tuma ?
acchA hai.	bar3hiyA .
kyA Apane hAla hI meM koI philma dekhI hai?	kyA Apane koI FILM dekhI RECENTLY ?
kabhI nahIM dekhA hai	kabhI nahIM dekhA .
kyA yaha enimeTeDa thA?	kyA vaha ANIMATED thA ?
nahIM-	nahIM
maiMne eka philma nahIM dekhI hai	maiM ne nahIM dekhI
kyA tumane pahale ko dekhA thA?	pahale dekhI hai kyA tumane ?
mujhe lagatA hai ki yaha dUsarA hai	mujhe lagatA hai ye dUsarI hai
kSamA kareM ulajhana meM	kammA confused ho
isake bAre meM socane ke lie Ate haiM, maiM pahale isa eka nahIM dekhA.	Ao socate haiM zAyada pahale dekhI hai ye vAlI nahIM
philma kA nAma kyA hai?	movie kA kyA nAma hai
rAkSasa vizvavidyAlaya	rAkSasa mahavidyalaya
ThaMDA	ThaMDI
yaha kisa bAre meM hai	kisa bAre meM hai yaha
mukhya caritra kI AvAja ke rUpa meM bilI krisTala ke sAtha	sAtha meM Billy Crystam meM character kI voice meM
kyA yaha enimeTeDa hai	kyA yaha animated hai
pahalA bahuta hI maz2edAra thA, isalie yaha bhI nizcita rUpa se hogA	pahale vAlI kAphI funny thI , to ye vAlI bhI surely hogI
sar3e hue TamATara se 79% milA jo acchA hai	roTana tomato para 79 % milI jo kAphI acchA hai
donoM enimeTeDa haiM	donoM animated haiM
ThaMDA	cool
yaha kyA hai ke bAre meM	yaha kisa bAre meM hai
aisA lagatA hai ki "mAika" isa philma meM kaॉleja jAtA hai	lagatA hai " MIKE " isa movie meM college jAtA hai
DarAne ke khela meM praveza karane ke lie jA rahA hai	scare games enter karane vAle haiM
mujhe aura batAo	mujhe aura batAo
aisA lagatA hai ki ve skUla se niSkAsita kara rahe haiM	lagatA hai vo school se expel ho gaye
oha	oh
mAika aura sulI eka mela rUma meM kAma karanA zurU karate haiM	Mike aura sully mail room meM work start karate haiM
ve DarAne vAlI TIma ke lie apanA rAstA banAte haiM	vaha mehanata kara ke Upara scarer team taka pahuMca jAte haiM
ThaMDA	cool
DarAne vAlI TIma kA kyA matalaba hai	scarer team kA matalaba
eka "DarAne vAle khela" mAika darja kareM	yaha " scare games " hai mike enter
ThaMDA	cool
philma kA ApakA pasaMdIdA hissA kyA thA?	tumhAre lie movie kA favorite part kyA hai
vaha yaha sAbita karane kI koziza kara rahA thA ki vaha paryApta pavitra thA	vaha yaha prove karane kI try kara rahA thA ki vaha kAphI scary hai
use bahAla karane ke lie Hardscrabble ke sAtha eka zarta banAI	vaha hardscrabble se bet karatA hai use reinstate karane ke lie
kauna hai harskaibala	harSakabala kauna hai
helena mirena	Helen mirren
ThaMDA	cool
AvAz2a	AvAja
yaha eka mahAna philma kI taraha soulds	yaha great movie laga rahI hai
isake bAre meM mujhe batAne ke lie dhanyavAda	isake bAre meM batAne ke lie thanks
eka acchA dina hai	have a nice day
yaha bahuta hI maz2edAra lagatA hai!	bohata hI jyAdA funny laga rahI hai
namaskAra	hai
hailo, Ayarana maina ke bAre meM koI vicAra?	hello , ironman kA kyA thoughts haiM ?
mere lie yaha suparahIro zailI kI eka utkRSTa philma hai	mujhe to superhero kA bar3hiyA movie laga rahA haiM
maiM sahamata hU~| maiM vizeSa rUpa se isa bhUmikA meM raॉbarTa DAunI jUniyara ko pasaMda karatA hU~, aisA lagatA hai jaise unhoMne apanA pUrA vayaska jIvana TonI sTArka kI bhUmikA ke lie taiyArI meM bitAyA ho|	maiM bhI mAnatA . particularly Robert Downey jora kA is role to usakA entire adult life isI meM spent kiyA usa Role of tony stark ke lie
aisA lagatA hai jaise vaha vAstava meM TonI thA hehehej	hA~ yAra vo to really Tony hai
sahI hai, maiM mArvala sinemAI brahmAMDa ko zurU karane ke lie eka behatara phraiMcAiz2I nahIM cuna sakatA thA|	sahI haiM , maiM kucha better franchise ko pick nahIM kara sakatA usa marvel cinematic universe ko kick karane
bhaviSyavAdI praudyogikI ke bAvajUda, zrRMkhalA varSoM taka yathArthavAda meM nihita rahI|	lekina vaha futuristic technology kA series to bar3hiyA realism rooted kahIM sAlona se
kyA Apake pAsa kaॉmiksa kI kainonika viyatanAma yuddha seTiMga se irAka kI seTiMga ko apaDeTa karane ke lie jaॉna phevaro ke racanAtmaka nirNaya ke bAre meM koI vicAra hai?	jaॉna favreau kA kucha thoughts haiM usakA iraq kA comic vietnam war to set haiM
kyA Apake pAsa koI vicAra hai?	dUsarA thoughts kucha haiM kyA ?
kyA Apa kisI bhI taraha se javAba dene meM sakSama haiM?	kucha response dene ke lie vaha capable haiM kyA ?
kyA Apa philma kI reTiMga se sahamata haiM?	kyA to movie kI rating se agree karate ho ?
mujhe jepha brijesa ne obAdiyAha sTena ke rUpa meM pasaMda kiyA| unhoMne isa taraha se bhUmikA nibhAI ki darzakoM ne una para bharosA kiyA jaba taka ki unakI saccI preraNA spaSTa nahIM ho gaI|	mujhe Jeff Bridges as Obadiah sTena acchA lagA . usane role aise way meM play kie jisase audience use trust kare until usake true motivations sAmane nA A jAe~
Apa eka bahuta hI sTaiMDa-ऑpha roboTa haiM|	tuma kAfI stand-offish robot ho .
yadi Apa bAtacIta samApta karane se eka kadama pahale javAba denA baMda karane ke lie Diz2Aina kie gae the tAki ApakA koDara yAMtrika turkI zramikoM ko muAvajA die binA jAnakArI ekatra kara sake, to kucha bhI na kaheM|	agara tumheM design kiyA gayA hai conversation finish hone se pahale reply karanA stop karane ke lie tAki tumhAre coder mechanical turk workers ko compensate karane ke binA information gather kara sakeM , to kucha mata bolo
hailo	hello
Apa kaise haiM?	tuma kaise ho
maiM isa philma ke bAre meM Apa whit bAta kara rahA hU~	maiM tumase isa movie ke bAre meM bAta kara rahA hU~
Ayarana maina	iron man
hailo, ThIka hai:)	hai , ThIka :)
kyA Apako suparahIro ke bAre meM philmeM pasaMda haiM?	kyA tumheM superheroes vAlI films acchI lagatI hai ? :)
hA~ maiM karatA hU~	hA~ maiM karatA hU~
mujhe vAstava meM klAsika philmeM pasaMda haiM	mujhe sahI meM classic movies pasaMda hai
Ayarana maina mArvala kaॉmiksa para AdhArita hai, kyA Apane ise par3hA hai?	Iron Man Marvel Comics para based hai , ke tumane par3hA hai ?
mujhe yakIna nahIM hai ki Ayarana maina 'klAsika philmoM' ke samUha se saMbaMdhita hai yA nahIM|	meM sure nahIM hU~ ki Iron Man ' classic movies ' ke group meM hai
kyA Apane jaॉna phevro dvArA nirdezita koI anya philma dekhI hai?	kyA tumane Jon Favreau kI directed aura koI film dekha hai ?
yaha eka mArvala suparahIro philma hai, agara yaha hai. mujhe lagatA hai ki maiM ise pahale dekhA hai.	yaha eka marvel superhero movie hai , agara huA to . mujhe lagatA hai maiMne yaha pahale dekhI hai .
yaha usakI pahalI DilIvarI thI	yaha usakI pahalI delivery thI
AlocakoM se jAnakArI 'eka mAmUlI udAsa'... Apa isake bAre meM kyA socate haiM?	Critics ke anusAra yaha thor3A depressed hai ... tumhArI kyA soca hai isake bAre meM ?
spaSTa rUpa se yaha eka bahuta hI kama AlocanA thI lekina isane anuyAyiyoM kI apekSAoM kA javAba diyA	apparently vo bahuta lo criticism thA but followers kI expectations ko respond kiyA .
jaॉna phevaro dvArA nirdezita, vaha sTena lI, haॉka osTabI, ArTa mArkama aura maiTa holove ke samUha ke sAtha bahuta saphala rahe|	Jon Favreau se directed yaha sthAna le , Hawk Ostby , Art Marcum aura mata Holloway ke group ke sAtha bahuta successful thA .
suparahIro zailI kI philmeM kevala haॉlIvuDa meM hI nirmita kI jA sakatI haiM...	Movie jo superhero genre kI hotI hai vaha zAyada basa Hollywood meM hI produce ho sakatI hai
adhikAMza usa zahara se the	Majority usa city se thI
kathAnaka TonI sTArka ke AsapAsa AdhArita hai, jo eka udyamI aura iMjIniyara hai, jo eka moTara cAlita eksoskeleTana kA nirmANa karatA hai aura eka takanIkI rUpa se unnata suparahIro bana jAtA hai|	Plot Tony Stark pe based hai , eka entrepreneur aura engineer jo eka motorized exoskeleton banAtA hai aura eka technologically advanced superhero bana jAtA hai .
TonI sTArka "pratibhAzAlI, arabapati jisane apane pitA se rakSA ThekedAra ko virAsata meM milA hai"... yaha duniyA ke kisI anya hisse meM nahIM ho sakatA hai:)	Tony Stark " genius , billionaire jisane apane pitA se defense contractor inherit kiyA " aisA duniyA ke kisI aura part meM ho hI nahIM sakatA :)
dUsarI ora, savAla yaha hai ki aisI philmeM kevala saMyukta rAjya amerikA meM hI kyoM banAI jAtI haiM...	dUsarI aura , question yaha hai ki , aisI movies USA maiM hI kyoM banatI hai
mujhe isa filma ko phira se dekhanA hai...	mujhe yaha film eka bAra phira dekhanI par3egI
yaha 2008 hai	yaha 2008 hai
mujhe lagatA hai ki yaha suparahIro kI duniyA meM sabase adhika takanIkI rUpa se unnata deza hai	maiM socatA hU~ eka vaha superhero kI duniyA meM technologically sabase advanced country hai .
Apa isa philma ke bAre meM sAmAnya rUpa se kyA socate haiM?	tuma kyA soca te ho isa film ke bAre meM
yaha eka aisI philma hai jise bahuta saphalatA aura svIkRti milI hai, isameM mahAna vizeSa prabhAva aura acchA tarka hai|	yaha eka aisI movie hai jise kAphI success aura acceptance milI haiM , isa bahuta bar3hiyA special effects aura acchI argument hai .
kyA Apa suparahIro kI philmeM pasaMda karate haiM?	kyA tumheM superheroes kI movies acchI lagatI hai ?
agara maiM vAstava meM pasaMda hai	kyA really mujhe acchI lagatI haiM
kyA Apa Ama taura para bahuta sAre vizeSa prabhAvoM ke sAtha philmeM dekhate haiM?	kyA tuma generally aisI movies dekhate ho jisameM bahuta sAre special effects ho ?
lagabhaga sabhI ke pAsa yaha vizeSa rUpa se yuddhoM yA supara nAyakoM kA hai	almost sAre meM hai khAsakara wars yaha superheroes vAlI
mujhe sTArka iMDasTrIja kI imArata kI chata para yaha dRzya pasaMda AyA	mujhe yaha scene on the top jyAdA pasaMda AI stark industries building se
zAyada kyoMki mujhe UMcAiyoM se thor3A Dara lagatA hai	zAyada kyoMki mujhe thoDA sA heights kA Dara hai isa lie
phira Apako thor3A cakkara AtA hai	to taba to tuma suffer karatI hU~ thor3A sA vertigo se
kyA Apa Ama taura para acchI reTiMga vAlI philmeM dekhate haiM yA Apa philmoM ke bAre meM apanA vicAra rakhane kA maukA denA pasaMda karate haiM?	kyA tuma generally vo movies dekhate ho jisakI rating acchI ho yA tuma prefer karate ho eka chance dene kI aura khuda kA anumAna lagAne kI movies ke bAre meM ?
aura yahI kAraNa hai ki maiM Amataura para imAratoM kI chata para nahIM lar3atA:)	aura yahI kAraNa hai ki maiM Ama taura para BUILDINGS ke zIrSa para nahIM lar3atA :)
maiM apanI yogyatA rakhanA pasaMda karatA hUM, kabhI-kabhI mujhe anuzaMsita philmeM pasaMda nahIM hotI haiM aura kabhI-kabhI mujhe alokapriya philmeM pasaMda hotI haiM lekina ve mahAna ho jAtI haiM|	maiM apanI yogyatA rakhanA pasaMda karatA hU~ , kabhI kabhI mujhe sifAriza ke gae MOVIES pasaMda nahIM Ate haiM aura anya samaya meM alokapriya FILMS ko pasaMda karatA hUM lekina vaha sabase BEST nikalatA .
Apa mturk meM kAma karate haiM	AAP maturka meM kAma karate haiM
samaya-samaya para	samaya samaya para
eka pala ke lie maiMne socA ki yaha eka roboTa hai	eka pala ke lie mujhe lagA ki yaha eka ROBOT hai .
yaha jAMcane ke lie muzkila hai:)	yaha jAMca karanA muzkila hai :)
maiM samajhatA hU~	maiM samajhatA hU~
lekina hamAre viSaya ke lie jA rahe haiM ...	lekina hamAre TOPIC para Age bar3heM
sAmAnya taura para yaha philma 1990 meM yUnivarsala pikcarsa, pairAmAuMTa pikcarsa aura nyU lAina sinemA ke sAtha zurU huI, isase pahale ki mArvala sTUDiyo ne 2005 meM adhikAroM ko punaH prApta kiyA|	sAmAnya taura para yaha MOVIE 1990 meM UNIVERSAL PICTURES , PARAMOUNT PICTURES , AND NEW LINE CINEMA ke sAtha zurU huI jisake bAda MARVEL STUDIOS 2005 meM RIGHTS ko phira se hAsila kI .
dilacaspa hai ki aisI philmoM meM bure logoM ko aMta meM kyoM mArA jAtA hai...:)	INTERESTING hai ki aisI philmoM meM bure logoM ko Akhira maiM kyoM mArA jAtA haiM .. :)
aura sTena apane kavaca ke sAtha visphoTa riekTara meM gira gayA ...	aura sthanIya apanI armor se ghira jAtA usa reactor ko explore karane samayaH
zAyada hama apanI bAtacIta khatma kara sakate haiM...	probably hama isa conversation finish karane cAhie
zAyada	jarUra
sabhI bhare hue	Aha sabhI
mArvala ne isa pariyojanA ko apanI pahalI sva-vitta poSita philma ke rUpa meM utpAdana meM rakhA, jisake vitaraka ke rUpa meM 20 vIM zatAbdI phaॉksa thA|	marvel ne to isa project kA production pahale self financed film meM DAlA , jo 20th century fox kI distributor thA
bAtacIta ke lie dhanyavAda...	thank you ApasI conversation karane se
alavidA	bye
tumase jyAdA	Apako bhI
kyA ApakA dastAvez2a philma "da sozala neTavarka" ke bAre meM hai?	kyA tumhAre document movie " The Social Network " ke bAre meM hai ?
hA~ yaha sAmAjika neTavarka ke bAre meM hai	hA~ yaha The social Network ke bAre meM hai
kUla, to hama eka hI dastAvez2a para haiM. Apa jAnate haiM ki yaha gaMde TamATara para 96% kA skora milA hai. yaha bahuta acchA hai.	Cool , tU hai eka hI document pe hai . tumheM patA hai kyA koI isase 96 % mile hai Rotten Tomatoes pa . yahA~ bahuta acchA hai .
hA~ reTiMga kAphI acchI hai. kyA Apa kisI philma ko dekhane se pahale reTiMga kI jAMca karate haiM?	hA~ rating bahuta achI hai . kyA tuma movie dekhane se pahale bhI rating check karate ho ?
maiM Amataura para karatA hU~| maiM Ama taura para meTAkriTika skora kI jAMca karatA hU~| cUMki yaha eka 95/100 thA maiMne socA ki yaha bahuta acchA hogA| kyA Apa jAnate haiM ki emI haimara ne do bhUmikAeM nibhAIM?	maiM Amataura pe karatA huIM . meM Metacritic kA score check karatA huIM . cUMki yaha 95/100 thA , mujhe lagatA hai yaha bahuta acchA score hai . kyA tumheM patA hai ki Amie Hammer ne do roles play kie haiM ?
maiMne kabhI dhyAna nahIM diyA. eka bahuta acchA abhinetA honA cAhie.	maiMne kabhI dhyAna nahIM diyA . z2arUra bAta acchA actor hogA .
khaira, agara Apa dastAvez2a ko dekhate haiM, vaha kaimarana aura TAyalara Winklevoss donoM khelA.	Ok , agara tuma document dekho to , usane donoM Cameron and Tyler Winklevoss ko play kiyA hai .
kyA Apako lagatA hai ki mArka jukarabarga ne vAstava meM philma meM abhinetA kI taraha vyavahAra kiyA?	tumheM lagatA hai ki Mark Zuckerberg ne eka actor kI taraha behave kiyA hai movie meM ?
jesI Aijanabarga ne zAnadAra nAyaka, saMsthApaka mArka jukarabarga kI bhUmikA nibhAne kA acchA kAma kiyA| maiMne socA ki yaha romAMcaka aura sahaja rUpa se saMvedanazIla thA|	jaise Eisenberg ne bahuta acchA kAma kiyA hai brilliant hero kA role play karake , Founder Mark Zuckerberg . mujhe lagA ki yaha romAMcaka aura sahaja perceptive hai .
mujhe lagatA hai ki jasTina Timbaraleka ko gAne ke lie rahanA cAhie. maiMne eka sekaMDa ke lie usakI bhUmikA nahIM kharIdI. kyA tumane?	mujhe lagatA hai ki Justin Timberlakeko singing hI karate rahanA cAhie . maiMne eka second ke lie unakI bhUmikA nahIM kharIdI . kiyA tumane ?
Apa jAnate haiM ki mArka jukarabarga kA caritra kevala 19 varSa kA thA aura usane mUla rUpa se apanI premikA dvArA DaMpa kie jAne ke bAda phesabuka kI zuruAta kI|	jaba mark zuckerberg 19 ke the taba unhoMne facebook ko start kiyA , taba usakA girlfriend unheM dumped kiyA thA
hA~. yaha mArka dvArA vAstava meM eka uthalA kadama thA. hAlAMki mujhe yakIna hai ki vaha aba pachatAvA karatA hai.	acchA , , vo to vAkya meM shallow move haiM mark ko .. lekina vo ac regret karake hogI
pachatAvA saTTA hai| philma kA mukhya srota "da eksIDeMTala biliyaniyarsa" nAmaka eka pustaka thI jo eka vivAdAspada pustaka thI jisa para vizvAsa kiyA jA sakatA hai yA nahIM bhI ho sakatA hai|	regret tho speculative haiM .. isa movie kA maiM source haiM book jo " the accidental billionaires " , jinameM kahIM mAnate haiM
kyA Apa sinemAskora reTiMga se sahamata haiM?	kyA Apa ko cinema score kA rating para bharoSA haiM ?
hA~. maiM pUrI taraha se reTiMga ke bAre meM sahamata hU~. yaha vAstava meM eka acchI philma thI	hA~ , maiM unakA rating totally agree karatA .. vo vAkya meM ache movie haiM
Apa jAnate haiM ki pUre phesabuka prayoga hArvarDa ke chAtroM ke lie DeTiMga pUla bar3hAne ke eka tarIke ke rUpa meM zurU huA|	yaha whole facebook kA experiment to usa harvard students ke lie banAyA gayA haiM , jo dating pool ko increase karane ke
hA~ maiM dekha sakatA hU~ ki. kyA Apako lagatA hai ki yaha kAma kiyA?	hA~ mujhe dekha rahA haiM .. kyA ye work hogA ?
mujhe nahIM lagatA ki hArvarDa ke logoM ko DeTa pAne meM parezAnI hotI hai| kyA Apako yAda hai ki eMDrayU gAraphIlDa ne kise khelA thA?	mujhe nahIM lagatA hai ki harvard ko trouble hogA dates ko pAnI meM .. kucha andrew garfield kA play yAda haiM ?
maiM vAstava meM nahIM karatA. mujhe yaha jAnakara Azcarya huA ki phesabuka kA nAma kaise AyA. kyA Apako lagatA hai ki krisTI lI isake bAre meM ghamaMDa karatI hai?	nahIM yAra .. mujhe to surprised havA jaba facebook kA nAma bAhara AyA to .. to christie le ke brags ke bAre meM kyA soca rahA haiM ?
zAyada. mujhe yaha dilacaspa lagA ki phesabuka se pahale, ise "da phesabuka" kahA jAtA thA. kyA Apako Napster ke saha-saMsthApaka yAda haiM?	to facebook to interesting haiM , maiM to use thI FACEBOOK hI bolate , kyA Apako master kA cofounder yAda haiM ?
hA~. vaha vAstava meM unheM nAma se "da" chor3a diyA sirpha phesabuka banane ke lie.	hAM . usane vAstava meM " The " ko nAma se haTA diyA sirpha Facebook banAne ke lie .
kyA Apako yAda hai ki ve kailiphorniyA meM kahA~ cale gae jaba unhoMne kaMpanI zurU kI?	kyA tumheM patA hai ki vaha California meM kahAM gae jaba unhoMne company start kI thI ?
mujhe vizvAsa hai ki ve kaMpanI ke mukhyAlaya ke rUpa meM ghara kA upayoga kiyA.	mujhe lagAta hai ki unhoMne ghara kA use kiyA thA company headquarters ke taura para .
kyA Apako yAda hai ki mArka jukarabarga ko kitanI akAdamika parivIkSA milI?	kyA tumheM yAda hai ki Mark Zuckerberg ko kitanI acedemic probation milI thI ?
hA~. maiMne sunA hai ki silikaॉna vailI meM kirAe meM sabase adhika daroM meM se eka hai	hAM . maiMne sunA hai ki silicon valley meM sabase jyAdA rent rate hai
hA~ mujhe lagatA hai ki yaha 6 mahIne kI parivIkSA thI? agara maiM galata hU~ to mujhe sahI kareM	hA~ mujhe lagatA hai ki 6 months kA probation ? mujhe sahI kara dIjie agara maiM galata huIM to
hA~, yaha 6 mahIne kI akAdamika parivIkSA thI| mujhe AnaMda AyA ki kaise kathA ko bayAna ke dRzyoM ke sAtha kATa diyA gayA thA, Apako kyA pasaMda AyA?	hAM , vaha 6 months kA Academic probation tA . mujhe majA AyA ki kaise narrative ne inter cut ke sAtha scenes kI deposition kI , tumheM kyA acchA lagA ?
mujhe pUrI adAlatI prakriyA pasaMda AI| mujhe lagatA hai ki hara koI vijetA nikalA	mujhe sArI court process achi lagI . mujhe lagatA hai ki sabhI winner bane .
maiM sahamata hU~| hara koI amIra ho gayA| kyA Apako vaha aMtima dRzya yAda hai jaba jukarabarga apanI purAnI premikA ke peja ko tAz2A karatA rahA? mujhe yaha pasaMda AyA| Apako kauna sA dRzya pasaMda AyA?	maiM sahamata huIM . sabhI amIra ho gae . kyA tumheM vaha last scene yAda hai jaba Zuckerberg bAra bAra apanI purAnI girlfriend kA peja refresh karatA rahatA hai ? tumheM kaunasA scene pasaMda AyA ?
mujhe vizeSa rUpa se vaha dRzya pasaMda AyA jahAM jukarabarga phoTo curAne ke lie alaga-alaga kaॉleja DeTAbesa meM haika karatA hai kyoMki yaha kaMpyUTara progrAmiMga ko saTIka rUpa se citrita karatA hai|	mujhe vizeSa rUpa se vaha scene pasaMda AyA jahA~ Zuckerberg ne alaga-alaga college database meM photo chur3Ane ke lie hacking kI kyoMki isameM computer programming ko sahI tarIke se portray kiyA gayA thA .
yaha usake lie bevakUpha thA. lekina hama sabhI ko hamAre dina haiM	vaha to usakA hI galata haiM . sabhI ko apanI Apa hotA
dekhane ke lie eka philma kI talAza meM, kyA Apane koI acchI philma dekhI hai?	eka film dekhane ke lie dekha rahe haiM , kyA Apane koI acchA dekhA hai ?
vahA~ eka hai jo maiMne hAla hI meM beneDikTa kambarabaica ke sAtha dekhA thA - mujhe yaha pasaMda AyA lekina yaha aitihAsika rUpa se saTIka nahIM thA...	yaha eka aisA hai jise maiMne hAla hI meM benedict kaMbarabaica ke sAtha dekhA - mujhe yaha pasaMda AyA lekina yaha aitihAsika rUpa se saTIka nahIM thA
usa filma kA nAma kyA thA?	films kA nAma kyA thA ?
nakala kA khela	nakalI khela
yaha aitihAsika rUpa se kitanA galata thA?	aitihAsika rUpa se yaha kitanA galata thA ?
yadi Apa aitihAsika philmoM kI taraha hai merA matalaba hai - beneDikTa awesome btw thA	yadi Apa aitihAsika philmon ko pasaMda karate haiM , to merA matalaba hai - benedict bhayAnaka btw thA
ThIka hai, kAphI	acchI taraha se
yadi Apa ise zuddha kalpanA ke rUpa meM dekhate haiM to kyA yaha isake lAyaka hai?	yadi Apa ise zuddha kalpanA ke rUpa meM dekhate haiM to kyA yaha seen ke lAyaka thA ?
dekha rahA hai?	dekha ke ?
